id,code,label
C21097798,C10116,Wills and probate
C21097799,C10055,Litigation
C21097799,C10056,Manors
C21097800,C10055,Litigation
C21097801,C10055,Litigation
C21097802,C10055,Litigation
C21097802,C10025,Debt
C21097803,C10055,Litigation
C21097803,C10056,Manors
C21097804,C10055,Litigation
C21097804,C10056,Manors
C21097805,C10055,Litigation
C21097806,C10055,Litigation
C21097807,C10055,Litigation
C21097807,C10108,Trade and commerce
C21097807,C10025,Debt
C21097808,C10055,Litigation
C21097809,C10055,Litigation
C21097809,C10040,Forestry
C21097809,C10015,Common land
C21097810,C10055,Litigation
C21097810,C10056,Manors
C21097811,C10055,Litigation
C21097811,C10056,Manors
C21097812,C10055,Litigation
C21097812,C10056,Manors
C21097813,C10055,Litigation
C21097813,C10116,Wills and probate
C21097814,C10055,Litigation
C21097815,C10055,Litigation
C21097816,C10055,Litigation
C21097816,C10056,Manors
C21097816,C10007,Banking
C21097816,C10022,Conveyancing
C21097817,C10055,Litigation
C21097818,C10055,Litigation
C21097819,C10055,Litigation
C21097820,C10055,Litigation
C21097821,C10055,Litigation
C21097821,C10056,Manors
C21097822,C10055,Litigation
C21097822,C10056,Manors
C21097823,C10055,Litigation
C21097824,C10055,Litigation
C21097824,C10056,Manors
C21097825,C10055,Litigation
C21097826,C10055,Litigation
C21097827,C10055,Litigation
C21097828,C10055,Litigation
C21097829,C10055,Litigation
C21097830,C10055,Litigation
C21097831,C10059,Marriage and divorce
C21097831,C10055,Litigation
C21097831,C10056,Manors
C21097832,C10055,Litigation
C21097833,C10055,Litigation
C21097833,C10012,Children
C21097834,C10055,Litigation
C21097835,C10055,Litigation
C21097836,C10055,Litigation
C21097836,C10056,Manors
C21097837,C10055,Litigation
C21097838,C10055,Litigation
C21097839,C10055,Litigation
C21097839,C10025,Debt
C21097840,C10055,Litigation
C21097840,C10077,Pay and pensions
C21097841,C10055,Litigation
C21097841,C10108,Trade and commerce
C21097841,C10132,Ireland
C21097842,C10055,Litigation
C21097843,C10131,Europe and Russia
C21097843,C10055,Litigation
C21097843,C10056,Manors
C21097843,C10077,Pay and pensions
C21097844,C10055,Litigation
C21097844,C10056,Manors
C21097845,C10055,Litigation
C21097846,C10055,Litigation
C21097847,C10055,Litigation
C21097848,C10059,Marriage and divorce
C21097848,C10055,Litigation
C21097849,C10055,Litigation
C21097849,C10025,Debt
C21097850,C10055,Litigation
