age,gender,year,deaths
73,male,1967,8303
74,female,1967,8187
74,male,1967,8403
75,female,1967,8312
75,male,1967,8020
76,female,1967,8900
76,male,1967,7969
77,female,1967,8600
77,male,1967,7640
78,female,1967,9052
78,male,1967,7480
79,female,1967,9390
79,male,1967,7271
80,female,1967,9439
80,male,1967,6842
81,female,1967,9269
81,male,1967,6434
82,female,1967,9422
82,male,1967,5988
83,female,1967,9064
83,male,1967,5590
84,female,1967,8876
84,male,1967,5194
85,female,1967,8085
85,male,1967,4563
86,female,1967,7760
86,male,1967,4143
87,female,1967,6949
87,male,1967,3517
88,female,1967,5703
88,male,1967,2937
89,female,1967,5199
89,male,1967,2415
90,female,1967,4397
90,male,1967,1890
91,female,1967,3568
91,male,1967,1416
92,female,1967,2896
92,male,1967,1153
93,female,1967,2228
93,male,1967,816
94,female,1967,1687
94,male,1967,599
95,female,1967,1223
95,male,1967,371
96,female,1967,868
96,male,1967,259
97,female,1967,585
97,male,1967,161
98,female,1967,387
98,male,1967,101
99,female,1967,262
99,male,1967,47
100,female,1967,141
100,male,1967,40
101,female,1967,86
101,male,1967,16
102,female,1967,56
102,male,1967,10
103,female,1967,30
103,male,1967,4
104,female,1967,20
104,male,1967,2
105,female,1967,14
105,male,1967,0
0,female,1968,6277
0,male,1968,8705
1,female,1968,473
1,male,1968,552
2,female,1968,291
2,male,1968,381
3,female,1968,229
3,male,1968,316
4,female,1968,202
4,male,1968,243
5,female,1968,139
5,male,1968,220
6,female,1968,119
6,male,1968,195
7,female,1968,106
7,male,1968,163
8,female,1968,119
8,male,1968,135
9,female,1968,90
9,male,1968,155
10,female,1968,81
10,male,1968,111
11,female,1968,67
11,male,1968,140
12,female,1968,89
12,male,1968,132
13,female,1968,103
13,male,1968,115
14,female,1968,90
14,male,1968,179
15,female,1968,104
15,male,1968,190
16,female,1968,124
16,male,1968,288
17,female,1968,122
17,male,1968,353
18,female,1968,132
18,male,1968,364
19,female,1968,142
19,male,1968,349
20,female,1968,162
20,male,1968,374
21,female,1968,158
21,male,1968,422
22,female,1968,135
22,male,1968,316
23,female,1968,148
23,male,1968,310
24,female,1968,137
24,male,1968,293
25,female,1968,163
25,male,1968,262
26,female,1968,140
26,male,1968,269
27,female,1968,155
27,male,1968,248
28,female,1968,164
28,male,1968,268
29,female,1968,171
29,male,1968,298
30,female,1968,188
30,male,1968,260
31,female,1968,198
31,male,1968,306
32,female,1968,215
32,male,1968,328
33,female,1968,231
33,male,1968,293
34,female,1968,245
34,male,1968,365
35,female,1968,277
35,male,1968,350
36,female,1968,277
36,male,1968,436
37,female,1968,351
37,male,1968,485
38,female,1968,402
38,male,1968,569
39,female,1968,433
39,male,1968,604
40,female,1968,497
40,male,1968,679
41,female,1968,539
41,male,1968,763
42,female,1968,638
42,male,1968,961
43,female,1968,704
43,male,1968,1092
44,female,1968,776
44,male,1968,1157
45,female,1968,920
45,male,1968,1245
46,female,1968,1009
46,male,1968,1542
47,female,1968,1205
47,male,1968,1831
48,female,1968,1344
48,male,1968,1983
49,female,1968,1092
49,male,1968,1671
50,female,1968,1099
50,male,1968,1718
51,female,1968,1341
51,male,1968,2191
52,female,1968,1557
52,male,1968,2632
53,female,1968,1782
53,male,1968,3069
54,female,1968,2071
54,male,1968,3405
55,female,1968,2068
55,male,1968,3752
56,female,1968,2295
56,male,1968,4028
57,female,1968,2501
57,male,1968,4669
58,female,1968,2794
58,male,1968,5212
59,female,1968,2945
59,male,1968,5706
60,female,1968,3292
60,male,1968,6046
61,female,1968,3366
61,male,1968,6289
62,female,1968,3765
62,male,1968,6949
63,female,1968,4259
63,male,1968,7469
64,female,1968,4511
64,male,1968,8019
65,female,1968,4574
65,male,1968,8329
66,female,1968,4917
66,male,1968,8473
67,female,1968,5818
67,male,1968,9246
68,female,1968,5791
68,male,1968,8939
69,female,1968,6134
69,male,1968,8703
70,female,1968,6598
70,male,1968,8588
71,female,1968,6924
71,male,1968,8519
72,female,1968,7624
72,male,1968,8698
73,female,1968,8061
73,male,1968,8852
74,female,1968,8727
74,male,1968,8757
75,female,1968,8872
75,male,1968,8929
76,female,1968,9332
76,male,1968,8758
77,female,1968,9286
77,male,1968,8302
78,female,1968,10027
78,male,1968,8158
79,female,1968,10199
79,male,1968,7845
80,female,1968,10149
80,male,1968,7540
81,female,1968,9883
81,male,1968,6694
82,female,1968,10254
82,male,1968,6631
83,female,1968,10051
83,male,1968,6130
84,female,1968,9598
84,male,1968,5670
85,female,1968,8940
85,male,1968,4847
86,female,1968,8651
86,male,1968,4448
87,female,1968,7717
87,male,1968,3919
88,female,1968,6709
88,male,1968,3359
89,female,1968,5796
89,male,1968,2618
90,female,1968,4891
90,male,1968,2062
91,female,1968,4065
91,male,1968,1700
92,female,1968,3346
92,male,1968,1257
93,female,1968,2594
93,male,1968,909
94,female,1968,1907
94,male,1968,692
95,female,1968,1396
95,male,1968,493
96,female,1968,1039
96,male,1968,306
97,female,1968,669
97,male,1968,186
98,female,1968,442
98,male,1968,98
99,female,1968,277
99,male,1968,59
100,female,1968,202
100,male,1968,34
101,female,1968,105
101,male,1968,26
102,female,1968,74
102,male,1968,9
103,female,1968,41
103,male,1968,6
104,female,1968,17
104,male,1968,2
