burial_id,feetotal,fee_l,fee_s,fee_d,fee_as_d
10903,0.9.0,0,9,0,108
10904,2.3.0,2,3,0,516
10905,0.5.0,0,5,0,60
10906,0.5.0,0,5,0,60
10907,0.3.0,0,3,0,36
10908,1.11.0,1,11,0,372
10909,0.9.0,0,9,0,108
10910,0.12.0,0,12,0,144
10911,0.9.0,0,9,0,108
10912,0.1.6,0,1,6,18
10913,0.1.6,0,1,6,18
10914,0.5.0,0,5,0,60
10915,0.9.0,0,9,0,108
10916,0.3.0,0,3,0,36
10917,0.1.6,0,1,6,18
10918,0.5.0,0,5,0,60
10919,2.3.0,2,3,0,516
10920,0.9.0,0,9,0,108
10921,0.5.0,0,5,0,60
10922,0.5.0,0,5,0,60
10923,1.13.6,1,13,6,402
10924,0.11.6,0,11,6,138
10925,1.1.0,1,1,0,252
10926,1.1.0,1,1,0,252
10927,0.1.6,0,1,6,18
10928,0.1.6,0,1,6,18
10929,0.3.0,0,3,0,36
10930,2.12.6,2,12,6,630
10931,0.5.0,0,5,0,60
10932,0.5.0,0,5,0,60
10933,1.1.0,1,1,0,252
10934,0.1.6,0,1,6,18
10935,0.9.0,0,9,0,108
10936,0.1.6,0,1,6,18
10937,2.15.0,2,15,0,660
10938,0.5.0,0,5,0,60
10939,2.12.6,2,12,6,630
10940,0.5.0,0,5,0,60
10941,0.9.0,0,9,0,108
10942,0.5.0,0,5,0,60
10943,0.1.6,0,1,6,18
10944,4.6.0,4,6,0,1032
10945,0.11.6,0,11,6,138
10946,2.3.0,2,3,0,516
10947,0.9.0,0,9,0,108
10948,0.9.0,0,9,0,108
10949,1.16.0,1,16,0,432
10950,0.9.0,0,9,0,108
10951,0.1.6,0,1,6,18
10952,0.9.0,0,9,0,108
10953,0.5.0,0,5,0,60
10954,0.5.0,0,5,0,60
10955,1.1.0,1,1,0,252
10956,0.5.0,0,5,0,60
10957,0.5.0,0,5,0,60
10958,0.5.0,0,5,0,60
10959,2.3.0,2,3,0,516
10960,0.1.6,0,1,6,18
